matchId,slug,playerid,overs,balls,maidens,conceded,wickets,economy,runsPerBall,dots,fours,sixes,wides,noballs
1359480,yash-thakur,1070196,4,24,0,36,0,9,1.5,4,3,1,0,1
1359480,ravi-bishnoi,1175441,4,24,0,28,3,7,1.16,13,1,2,1,0
1359480,deepak-chahar,447261,4,24,0,55,0,13.75,2.29,6,7,1,5,0
1359480,ben-stokes,311158,1,6,0,18,0,18,3,0,2,1,0,0
1359480,tushar-deshpande,822553,4,24,0,45,2,11.25,1.87,7,2,2,4,3
1359480,moeen-ali,8917,4,24,0,26,4,6.5,1.08,10,0,1,1,0
1359480,mitchell-santner,502714,4,24,0,21,1,5.25,0.87,9,0,1,0,0
1359480,rajvardhan-hangargekar,1175429,2,12,0,24,0,12,2,4,2,1,3,0
1359480,ravindra-jadeja,234675,1,6,0,14,0,14,2.33,2,0,2,0,0
1359481,mohammed-shami,481896,4,24,0,41,3,10.25,1.7,15,5,1,4,0
1359481,josh-little,928067,4,24,0,27,0,6.75,1.12,11,2,1,0,0
1359481,hardik-pandya,625371,3,18,0,18,0,6,1,6,2,0,0,0
1359481,alzarri-joseph,670031,4,24,0,29,2,7.25,1.2,13,3,1,1,0
1359481,yash-dayal,1159720,1,6,0,12,0,12,2,0,0,1,0,0
1359481,rashid-khan,793463,4,24,0,31,3,7.75,1.29,9,2,2,0,0
1359481,khaleel-ahmed,942645,4,24,0,38,1,9.5,1.58,9,5,1,1,0
1359481,mukesh-kumar,926851,4,24,0,42,0,10.5,1.75,8,5,2,1,0
1359481,anrich-nortje,481979,4,24,0,39,2,9.75,1.62,9,3,2,0,2
1359481,mitchell-marsh,272450,3.1,19,0,24,1,7.57,1.26,4,1,0,1,0
1359481,kuldeep-yadav,559235,3,18,0,18,0,6,1,5,1,0,1,0
1359482,trent-boult,277912,4,24,0,38,0,9.5,1.58,8,3,2,1,0
1359482,km-asif,1083030,4,24,0,54,0,13.5,2.25,7,5,3,3,1
1359482,ravichandran-ashwin,26421,4,24,0,25,1,6.25,1.04,7,2,0,1,0
1359482,jason-holder,391485,4,24,0,29,2,7.25,1.2,7,2,1,0,0
1359482,yuzvendra-chahal,430246,4,24,0,50,1,12.5,2.08,5,7,1,1,0
1359482,sam-curran,662973,4,24,0,44,0,11,1.83,7,3,3,0,0
1359482,arshdeep-singh,1125976,4,24,0,47,2,11.75,1.95,10,4,3,3,0
1359482,harpreet-brar,1168641,2,12,0,15,0,7.5,1.25,5,2,0,0,0
1359482,nathan-ellis,826915,4,24,0,30,4,7.5,1.25,11,2,2,0,0
1359482,rahul-chahar,1064812,4,24,0,31,0,7.75,1.29,5,1,1,0,0
1359482,sikandar-raza,299572,2,12,0,24,0,12,2,2,1,1,2,0
1359483,mohammed-siraj,940973,4,24,0,44,1,11,1.83,13,6,1,3,1
1359483,david-willey,308251,4,24,1,16,2,4,0.66,15,2,0,1,0
1359483,akash-deep,1176959,2,12,0,30,0,15,2.5,4,2,2,1,2
1359483,michael-bracewell,326968,3,18,0,34,1,11.33,1.88,3,1,3,0,0
1359483,shahbaz-ahmed,1159711,1,6,0,6,0,6,1,3,1,0,0,0
1359483,karn-sharma,30288,3,18,0,26,2,8.66,1.44,6,2,1,0,0
1359483,harshal-patel,390481,3,18,0,38,1,12.66,2.11,5,4,2,1,0
1359483,umesh-yadav,376116,2,12,0,17,0,8.5,1.41,5,3,0,0,0
1359483,tim-southee,232364,2,12,0,25,0,12.5,2.08,5,2,2,0,0
1359483,sunil-narine,230558,4,24,0,16,2,4,0.66,12,1,0,0,0
1359483,varun-chakravarthy,1108375,3.4,22,0,15,4,4.09,0.68,13,2,0,0,0
1359483,suyash-sharma,1350792,4,24,0,30,3,7.5,1.25,11,2,2,1,0
1359483,shardul-thakur,475281,2,12,0,15,1,7.5,1.25,4,2,0,0,0
1359484,kyle-mayers,348056,1,6,0,5,0,5,0.83,1,0,0,0,0
1359484,jaydev-unadkat,390484,3,18,0,26,0,8.66,1.44,9,0,3,1,0
1359484,krunal-pandya,471342,4,24,0,18,3,4.5,0.75,15,3,0,0,0
1359484,yash-thakur,1070196,3,18,0,23,1,7.66,1.27,6,3,0,0,0
